TICKER,HOLDERS,TOP HOLDER,Total Held,FREE FLOAT
BABY,2,BLOOMING YEARS PTE.LTD.,95.4%,4.59% ⚠️
LFLO,7,ANG PHEK TUAN,98.0%,4.66% ⚠️
PMJS,7,PT. PAHALAMAS SEJAHTERA,98.9%,4.67% ⚠️
PNSE,9,PT. ISTANA KUTA RATU PRESTIGE,95.3%,4.67% ⚠️
DNET,9,HANNAWELL GROUP LIMITED,97.8%,4.71% ⚠️
NATO,18,PT MERCURY STRATEGIC INDONESIA,96.5%,4.72% ⚠️
WOMF,4,PT BANK MAYBANK INDONESIA TBK,95.1%,4.86% ⚠️
RANC,6,PT GLOBAL DIGITAL NIAGA TBK,96.4%,4.88% ⚠️
MAPB,4,"MITRA ADIPERKASA, TBK, PT",98.2%,5.03% ⚠️
PTSN,6,ABIDIN FAN,96.1%,5.09% ⚠️
OMED,5,INTISUMBER HASILSEMPURNA,94.8%,5.19% ⚠️
BPII,3,MALACCA TRUST PTE. LTD.,99.7%,5.20% ⚠️
MORA,10,PT CANDRAKARYA MULTIKREASI,99.7%,5.24% ⚠️
TIFA,4,THE KOREA DEVELOPMENT BANK,99.6%,5.25% ⚠️
PORT,7,CHINA MERCHANTS INTERNATIONAL PORT-INTEGRATED DEVELOPMENT (HONG KONG) COMPANY LIMITED,99.6%,5.39% ⚠️
INRU,3,ALLIED HILL LIMITED,96.9%,5.40% ⚠️
INDR,4,INDORAMA HOLDINGS B.V.,94.5%,5.51% ⚠️
SAPX,5,PT SATRIA INVESTAMA PERDANA,94.5%,5.51% ⚠️
CRSN,7,SHEILA MARIA TIWAN,96.5%,5.53% ⚠️
SHIP,5,PT GOLDENHEAVEN PRIMA INVESTAMA,94.3%,5.69% ⚠️
TRIS,12,PT. INTI NUSA DAMAI,95.5%,5.73% ⚠️
EPMT,2,KALBE FARMA TBK PT,94.3%,5.75% ⚠️
TAMU,5,PT ANDALAN LEPAS PANTAI,94.2%,5.77% ⚠️
SSMS,9,PT.CITRA BORNEO INDAH,94.2%,5.81% ⚠️
PSAB,3,JIMMY BUDIARTO,94.2%,5.83% ⚠️
MBAP,4,PT WAHANA SENTOSA CEMERLANG,95.9%,5.87% ⚠️
CITY,15,PT SAKTI GENERASI PERDANA,94.1%,5.88% ⚠️
NEST,8,HOO ANTON SISWANTO,95.4%,5.91% ⚠️
PGEO,4,PERTAMINA POWER INDONESIA,94.0%,5.95% ⚠️
CEKA,4,"SENTRATAMA NIAGA INDONESIA, PT",95.3%,5.98% ⚠️
BPTR,5,"PT. BATAVIA PROSPERINDO INTERNASIONAL, TBK",94.0%,5.99% ⚠️
GLOB,4,"TRIKOMSEL OKE TBK,PT",98.1%,6.01% ⚠️
IKBI,3,"Sumitomo Electric Industries, Ltd",94.0%,6.02% ⚠️
TRGU,5,"SUNTERRA INDONESIA, PT",94.0%,6.03% ⚠️
DEPO,5,PT TANCORP SURYA SUKSES,93.9%,6.06% ⚠️
KEJU,4,"GARUDAFOOD PUTRA PUTRI JAYA TBK, PT",93.9%,6.08% ⚠️
BNLI,4,BANGKOK BANK PUBLIC COMPANY LIMITED,99.7%,6.11% ⚠️
KING,9,JAPARTO SUKSES MANDIRI,96.8%,6.11% ⚠️
TPIA,7,BARITO PACIFIC TBK,93.8%,6.18% ⚠️
DART,5,HARTADI ANGKOSUBROTO,95.2%,6.21% ⚠️
